City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,gangtok,27.3333,88.6167,19.04,94,97,1.24,IN,1689885418
258,richards bay,-28.783,32.0377,14.48,77,100,4.24,ZA,1689885418
259,cartagena del chaira,1.3349,-74.8429,27.42,72,54,1.0,CO,1689885418
260,ancud,-41.8697,-73.8203,10.95,89,46,8.59,CL,1689885177
261,bengkulu,-3.8004,102.2655,23.77,90,92,1.89,ID,1689885418
262,piton saint-leu,-21.2196,55.3151,19.67,73,0,2.57,RE,1689885418
263,port mathurin,-19.6833,63.4167,23.27,68,8,7.82,MU,1689885418
264,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,100,100,1.0,RU,1689885418
265,leninskoye,41.7589,69.3864,24.2,33,0,0.77,KZ,1689885418
266,prado,-17.3411,-39.2208,21.81,90,99,5.31,BR,1689885418
267,kamloops,50.6665,-120.3192,33.75,27,40,4.12,CA,1689885175
268,arno,60.1167,18.6333,12.35,87,36,3.06,SE,1689885419
269,yakeshi,49.2833,120.7333,15.66,63,100,1.59,CN,1689885419
270,bonthe,7.5264,-12.505,25.16,88,100,3.32,SL,1689885419
271,sault ste. marie,46.5168,-84.3333,18.31,100,100,1.54,CA,1689885407
272,callao,-12.0667,-77.15,23.16,60,40,6.17,PE,1689885419
273,la'ie,21.6477,-157.9253,29.98,73,73,1.79,US,1689884891
274,petrove,48.3247,33.2562,17.54,96,91,2.38,UA,1689885419
275,qingnian,36.8456,115.7117,24.09,94,99,3.51,CN,1689885420
276,rio gallegos,-51.6226,-69.2181,3.03,93,100,5.14,AR,1689884900
277,plastun,44.7561,136.2939,18.87,81,32,1.49,RU,1689885142
278,egilsstadir,65.2653,-14.3948,5.95,87,75,5.14,IS,1689885420
279,san antonio de pale,-1.4014,5.6325,23.74,80,54,5.2,GQ,1689885420
280,darwin,-12.4611,130.8418,20.99,88,0,3.09,AU,1689885420
281,bhimunipatnam,17.8833,83.4333,25.63,92,100,4.06,IN,1689885421
282,marchin,50.4671,5.2428,16.48,63,98,2.16,BE,1689885421
283,antsirabe,-19.85,47.0333,11.55,92,7,1.67,MG,1689885421
284,sitka,57.0531,-135.33,15.94,77,75,3.09,US,1689885421
285,paracuru,-3.41,-39.0306,27.28,69,2,6.52,BR,1689885421
286,carqueiranne,43.0953,6.073,28.05,56,0,3.6,FR,1689885422
287,bubaque,11.2833,-15.8333,27.49,79,100,4.31,GW,1689885422
288,balsas,-7.5325,-46.0356,29.17,20,13,2.57,BR,1689885424
289,yeppoon,-23.1333,150.7333,14.88,85,0,1.91,AU,1689885425
290,revda,56.801,59.9303,13.15,84,48,3.32,RU,1689885427
291,buala,-8.145,159.5921,27.19,86,80,1.33,SB,1689885428
292,ust-nera,64.5667,143.2,24.56,42,76,2.74,RU,1689885168
293,codrington,-38.2667,141.9667,5.52,83,44,3.26,AU,1689885431
294,porto novo,6.4965,2.6036,25.9,85,95,4.03,BJ,1689885431
295,arraial do cabo,-22.9661,-42.0278,20.92,68,75,5.14,BR,1689885431
296,halifax,44.6453,-63.5724,25.81,83,100,4.47,CA,1689885332
297,baranivka,50.2969,27.6622,13.81,97,1,3.13,UA,1689885432
298,victoria,22.2855,114.1577,29.1,84,100,1.31,HK,1689885233
299,mahina,-17.5065,-149.489,25.87,53,75,10.29,PF,1689885432
300,geraldton,-28.7667,114.6,5.23,93,0,4.12,AU,1689885434
301,shixing,24.9482,114.0657,25.05,97,73,0.7,CN,1689885435
302,etowah,35.3176,-82.5943,22.1,88,40,0.0,US,1689885435
303,marica,-22.9194,-42.8186,20.95,74,99,6.1,BR,1689885436
304,praia da vitoria,38.7333,-27.0667,23.14,88,20,2.41,PT,1689885436
305,chesapeake ranch estates,38.3462,-76.4177,32.4,71,40,2.06,US,1689885436
306,codajas,-3.8367,-62.0569,33.81,36,15,1.7,BR,1689885436
307,smithers,54.7804,-127.1743,27.18,36,40,2.57,CA,1689885436
308,dobrotesti,44.2833,24.8833,21.5,72,8,2.11,RO,1689885436
309,dunedin,-45.8742,170.5036,6.56,65,23,4.02,NZ,1689885436
310,meizhou,24.2977,116.1072,25.73,95,100,0.8,CN,1689884889
311,maraba,-5.3686,-49.1178,35.1,36,40,1.54,BR,1689885437
312,khovd,48.0056,91.6419,22.07,38,100,7.3,MN,1689885437
313,molina,-35.1167,-71.2833,16.85,65,0,5.14,CL,1689885437
314,kibre mengist,5.8833,38.9833,16.14,93,100,1.22,ET,1689885437
315,dzhangala,49.2167,50.3333,21.21,46,67,2.21,KZ,1689885437
316,bulawayo,-20.15,28.5833,10.79,82,60,8.37,ZW,1689885350
317,san-pedro,4.7485,-6.6363,24.54,91,62,3.99,CI,1689885437
318,belmonte,-15.8631,-38.8828,23.88,72,75,4.29,BR,1689884929
319,walvis bay,-22.9575,14.5053,11.53,87,0,1.54,,1689885438
320,bukittinggi,-0.3091,100.3706,17.65,98,100,0.81,ID,1689884711
321,kuching,1.55,110.3333,26.68,95,40,0.0,MY,1689885438
322,rawson,-43.3002,-65.1023,12.16,62,0,8.75,AR,1689885438
323,sicuani,-14.2694,-71.2261,14.89,31,51,6.09,PE,1689885438
324,gisborne,-38.6533,178.0042,12.55,88,100,7.75,NZ,1689885441
325,agios nikolaos,35.1914,25.7133,28.2,45,0,1.97,GR,1689885441
326,karratha,-20.7377,116.8463,18.03,45,2,5.5,AU,1689885181
327,olhao,37.0286,-7.8411,25.94,50,0,6.17,PT,1689885441
328,fisterra,42.9049,-9.2629,18.52,85,0,2.37,ES,1689885441
329,fort st. john,56.2499,-120.8529,25.94,38,0,2.06,CA,1689885368
330,vadso,70.0744,29.7487,9.49,87,75,8.75,NO,1689885441
331,homer,59.6425,-151.5483,16.13,83,40,2.06,US,1689885441
332,ati,13.2154,18.3353,28.73,51,97,3.36,TD,1689885442
333,hillsborough,37.5741,-122.3794,34.0,66,20,6.17,US,1689885383
334,vera,-29.4593,-60.2126,20.9,51,90,3.91,AR,1689885442
335,shimoda,34.6667,138.95,22.84,89,100,5.02,JP,1689884965
336,boksitogorsk,59.474,33.8485,14.78,88,100,2.69,RU,1689885442
337,khandyga,62.6667,135.6,16.61,95,100,1.26,RU,1689885442
338,dudinka,69.4058,86.1778,15.9,98,54,4.13,RU,1689885442
339,betafo,-19.8333,46.85,13.01,79,11,2.05,MG,1689885442
340,playas,-2.6333,-80.3833,26.58,77,24,6.65,EC,1689885442
341,rikaze,29.25,88.8833,15.23,46,31,1.65,CN,1689885442
342,zaozersk,69.4005,32.4476,8.42,91,100,7.17,RU,1689885443
343,san miguel,13.4833,-88.1833,39.78,42,0,2.06,SV,1689885443
344,joshimath,30.5667,79.5667,22.93,96,98,0.38,IN,1689885443
345,broken hill,-31.95,141.4333,6.06,84,2,4.17,AU,1689885443
346,puerto deseado,-47.7503,-65.8938,8.19,83,100,6.74,AR,1689885444
347,zhigalovo,54.8097,105.1578,10.8,83,0,0.83,RU,1689885444
348,seversk,56.6006,84.8864,18.53,97,83,2.02,RU,1689885445
349,ta`u,-14.2336,-169.5144,26.53,77,91,9.54,AS,1689885184
350,flying fish cove,-10.4217,105.6791,23.82,83,75,5.14,CX,1689885170
